rep,Mean,IntDen,date,sample,band,norm_int,fold_diff
4,9915.258,3873.905,12-Feb-24,Standard,stim1,0.925704977,1.163336147
4,8042.893,1575.806,12-Feb-24,Knockout,stim1,0.795733013,
4,9634.263,4184.816,12-Feb-24,Standard,actin,,
4,7575.093,1980.32,12-Feb-24,Knockout,actin,,
5,4467.192,589.416,1-Mar-24,Standard,stim1,0.113119142,0.360263852
5,6428.124,1457.755,1-Mar-24,Knockout,stim1,0.313989709,
5,20620.016,5210.577,1-Mar-24,Standard,actin,,
5,16386.436,4642.684,1-Mar-24,Knockout,actin,,
2,172.658,0.449,6-Dec-24,Standard,stim1,0.191798377,0.697819626
3,177.129,0.716,6-Dec-24,Standard,stim1,0.467973856,2.063154305
2,101.469,0.423,6-Dec-24,Knockout,stim1,0.274853801,
3,142.269,0.575,6-Dec-24,Knockout,stim1,0.226824458,
2,177.354,2.341,6-Dec-24,Standard,actin,,
3,95.619,1.53,6-Dec-24,Standard,actin,,
2,100.386,1.539,6-Dec-24,Knockout,actin,,
3,165.312,2.535,6-Dec-24,Knockout,actin,,
1,198.786,0.753,9-Dec-24,Standard,stim1,1.162037037,
1,138.559,0.733,9-Dec-24,Knockout,stim1,1.036775106,
1,83.297,0.648,9-Dec-24,Standard,actin,,
1,100.946,0.707,9-Dec-24,Knockout,actin,,
