variable	mean	sd	2.5%	25%	50%	75%	97.5%
sigma2[1]	3.66319248225	1.6090471771201424	1.5922910000000001	2.5368424999999997	3.33351	4.38334	7.678047000000001
sigma2[2]	5.6861104315	2.86132638291682	2.321266	3.7703725	4.97087	6.816425	13.285327500000006
sigma2[3]	5.0838422974999995	2.6000625605575545	2.06991175	3.36015	4.518885	6.056237500000001	11.667710000000001
sigma2[4]	2.63003596775	1.2416816955004855	1.0493214999999998	1.7848849999999998	2.3581450000000004	3.1653625	5.812270250000001
sigma2[5]	4.0189225650000004	1.5999447521507424	1.8413395000000001	2.920635	3.7228149999999998	4.77302	7.962443750000003
sigma2[6]	2.192799216	0.9819551858585007	0.9080288	1.5122425	2.006715	2.6560725	4.57851675
sigma2[7]	4.972025405	2.052660867658195	2.3376387500000004	3.5790925	4.5906649999999996	5.8862749999999995	9.9835565
sigma2[8]	19.335473275	7.965043281142946	8.9140245	13.759875	17.664749999999998	22.963675000000002	39.4524975
sigma2[9]	4.89665203	2.1284895146999365	2.2201797500000002	3.4754975	4.452535	5.761755	10.158072500000001
sigma2[10]	1.7674426995	0.795470372173799	0.7019649	1.22009	1.616895	2.13782	3.780578750000001
sigma2[11]	0.98830307175	0.4993740880008872	0.34309030000000007	0.640062	0.8889335	1.2126875000000001	2.2073000000000005
sigma2[12]	1.80709453125	0.8156733779867279	0.7330009	1.2389825	1.63615	2.2068525	3.84361475
sigma2[13]	5.632301805	2.3061458566773196	2.650819	4.04584	5.14809	6.6839949999999995	11.371825000000001
sigma2[14]	11.2962952525	5.919911619108897	4.508224500000001	7.399182499999999	9.773765000000001	13.489400000000002	26.503707500000004
sigma2[15]	1.20398908325	0.5537499735436714	0.451255125	0.81427025	1.10456	1.4787899999999998	2.5243147500000003
sigma2[16]	9.86234494	5.0796599584276265	3.9373744999999998	6.453525	8.6464	11.816600000000001	23.526435000000006
sigma2[17]	1.10870572675	0.5428093549528689	0.401635725	0.7399077500000001	0.9942915	1.339955	2.5255725000000013
sigma2[18]	1.17775014175	0.589277918467389	0.43862415	0.789753	1.05246	1.4165425	2.6623787500000007
sigma2[19]	6.7465767525	3.526867041701599	2.69161325	4.3643825	5.899585	8.076465	15.835965000000003
sigma2[20]	7.045194605	3.5345832540949864	2.86948125	4.7173525000000005	6.23132	8.4715925	15.90653750000001
sigma2[21]	4.2945407035	1.7616302112926014	1.94468975	3.0658325	3.9505350000000004	5.0883225	8.728168
sigma2[22]	1.51505856375	0.7033361298678542	0.5977317000000001	1.0324550000000001	1.37478	1.8354599999999999	3.2414365000000003
sigma2[23]	1.12551593875	0.5395235316023612	0.41306375	0.7595324999999999	1.01996	1.3650975	2.4989667500000006
sigma2[24]	1.654039249	0.7644744757383309	0.65503565	1.128195	1.494955	2.0128775	3.6246960000000006
sigma2[25]	2.71948831525	1.1232420426043845	1.20748475	1.9277574999999998	2.4882600000000004	3.28571	5.5877937499999994
sigma2[26]	0.54178927375	0.27038048760603295	0.19454905	0.35632425	0.4802485	0.6595300000000001	1.24984225
sigma2[27]	1.1181528185	0.5071269131819767	0.44747752500000004	0.76590375	1.0164149999999998	1.3446025	2.4033602500000004
sigma2[28]	1.65823240375	0.7489494533854488	0.6874591000000001	1.1489525	1.503205	1.98197	3.5699282500000002
sigma2[29]	4.30307113025	2.270777355854303	1.6981192500000002	2.83129	3.7809350000000004	5.1604575	9.91298
sigma2[30]	34.1380082825	15.908621151227603	13.2722825	23.17695	30.898699999999998	41.607425	74.4765775
sigma2[31]	10.5303258625	5.411862699513339	4.142223	6.905787500000001	9.225855	12.737175	23.43120500000001
sigma2[32]	12.049874085	5.696991699758844	4.814938	8.073575	10.7421	14.616249999999999	26.854077500000013
sigma2[33]	1.7882734635	0.8072117608106981	0.694587975	1.2221475	1.6365500000000002	2.1732975	3.7939860000000007
sigma2[34]	2.7822266785	1.2870295749789986	1.17041825	1.9115325	2.5206150000000003	3.3283475	5.934279500000001
sigma2[35]	1.03912476475	0.484869349229365	0.3891953	0.6973035	0.9472210000000001	1.2654925	2.2738625000000003
sigma2[36]	0.78510441	0.3836231107416256	0.289014375	0.52366225	0.708974	0.9661919999999999	1.7420235
sigma2[37]	1.13413487225	0.5286962996598988	0.436367075	0.7669025	1.0237850000000002	1.38884	2.409928
sigma2[38]	1.04683152625	0.5864627825240856	0.33370507499999996	0.65410475	0.916752	1.2784274999999998	2.5075950000000002
